source,label,mode,input_key,best_epoch,train_size,val_size,mae_z,rmse_z,median_abs_dz_over_1pz,catastrophic_outlier_rate,pearson_corr,spearman_corr
baseline_shared,image-only_z_shared,image-only,z_shared,30,743,83,0.027433966339779008,0.037690610502664576,0.018216616743497144,0.0,0.8849017233113337,0.7059107510180093
baseline_shared,spectrum-only_z_shared,spectrum-only,z_shared,36,743,83,0.025436483949131096,0.03530280555378234,0.01599800354359548,0.0,0.9087854068636098,0.6816884261785818
baseline_shared,both_z_shared,both,z_shared,26,743,83,0.029203522633424545,0.038288079545520826,0.01922285488596213,0.0,0.8858777913623412,0.6952898702825238
feature_ablation,image-only_z_img,image-only,z_img,12,743,83,0.025318145255434764,0.033969803797078535,0.016164632039415813,0.0,0.9067468710839554,0.7874774358759077
feature_ablation,spectrum-only_z_spec,spectrum-only,z_spec,26,743,83,0.024464959073923976,0.03398428583885866,0.01650491355171595,0.0,0.9066716365211773,0.811972629192729
feature_ablation,both_z_img,both,z_img,12,743,83,0.025318145255434764,0.033969803797078535,0.016164632039415813,0.0,0.9067468710839554,0.7874774358759077
feature_ablation,both_z_spec,both,z_spec,26,743,83,0.024464959073923976,0.03398428583885866,0.01650491355171595,0.0,0.9066716365211773,0.811972629192729
