label,split,query_mode,gallery_mode,query_key,gallery_key,similarity,normalize,num_queries,recall_at_1,recall_at_5,recall_at_10,mrr,mean_rank,median_rank,positive_similarity_mean,negative_similarity_mean,similarity_auc
image_zshared_to_spec_zshared,val,image-only,spectrum-only,z_shared,z_shared,cosine,True,83,0.1927710843373494,0.5301204819277109,0.6987951807228916,0.34949382961612124,10.228915662650602,5.0,0.9844694496637367,0.8916390376899511,0.8776310059515169
spec_zshared_to_image_zshared,val,spectrum-only,image-only,z_shared,z_shared,cosine,True,83,0.21686746987951808,0.5421686746987951,0.7710843373493976,0.3882543870828366,8.156626506024097,4.0,0.9844694496637367,0.8916390377063717,0.8776310059515169
image_lshared_to_spec_lshared,val,image-only,spectrum-only,latent_shared_proj,latent_shared_proj,cosine,True,83,0.18072289156626506,0.5180722891566265,0.6746987951807228,0.337453650962823,10.433734939759036,5.0,0.9835722582886018,0.8835504377896282,0.8785754242358798
spec_lshared_to_image_lshared,val,spectrum-only,image-only,latent_shared_proj,latent_shared_proj,cosine,True,83,0.20481927710843373,0.5542168674698795,0.7590361445783133,0.3801672915975274,8.349397590361447,4.0,0.9835722582886018,0.8835504375575501,0.8785754242358798
image_zimg_to_spec_zspec,val,image-only,spectrum-only,z_img,z_spec,cosine,True,83,0.20481927710843373,0.5060240963855421,0.6626506024096386,0.34954168378699957,12.036144578313253,5.0,0.4403984339189637,-0.0027106676704640674,0.8580929654557106
spec_zspec_to_image_zimg,val,spectrum-only,image-only,z_spec,z_img,cosine,True,83,0.1686746987951807,0.5421686746987951,0.6506024096385542,0.34280409233949316,12.337349397590362,4.0,0.4403984339189637,-0.002710667731579546,0.8580929654557106
