mode,input_key,best_epoch,train_size,val_size,mae_z,rmse_z,median_abs_dz_over_1pz,catastrophic_outlier_rate,pearson_corr,spearman_corr
image-only,z_shared,30,743,83,0.027433966339779008,0.037690610502664576,0.018216616743497144,0.0,0.8849017233113337,0.7059107510180093
spectrum-only,z_shared,36,743,83,0.025436483949131096,0.03530280555378234,0.01599800354359548,0.0,0.9087854068636098,0.6816884261785818
both,z_shared,26,743,83,0.029203522633424545,0.038288079545520826,0.01922285488596213,0.0,0.8858777913623412,0.6952898702825238
